method,partition,metric,n_runs,mean,std,min,max
SC+S3,N5K,f1,5,86.3000,0.0000,86.3000,86.3000
SC+S3,N5K,iou,5,80.8200,0.0000,80.8200,80.8200
SC+S3,N5K,accuracy,5,95.6500,0.0000,95.6500,95.6500
SC+S3,MTF,mAP,5,96.5800,0.0000,96.5800,96.5800
SC+S3,MTF,recall,5,83.8000,0.0000,83.8000,83.8000
SC+S3,MTF,precision,5,96.5800,0.0000,96.5800,96.5800
SC+S3,MTF,f1,5,86.1100,0.0000,86.1100,86.1100
SC+S3,MTF,iou,5,81.4300,0.0000,81.4300,81.4300
SC+S3,MTF,accuracy,5,99.4800,0.0000,99.4800,99.4800
SC+S3,VF,mAP,5,38.0400,0.0000,38.0400,38.0400
SC+S3,VF,recall,5,40.8900,0.0000,40.8900,40.8900
SC+S3,VF,precision,5,38.0400,0.0000,38.0400,38.0400
SC+S3,VF,f1,5,35.8300,0.0000,35.8300,35.8300
SC+S3,VF,iou,5,30.9900,0.0000,30.9900,30.9900
SC+S3,VF,accuracy,5,95.7100,0.0000,95.7100,95.7100
SC+S3,FKIT,mAP,5,58.6300,0.0000,58.6300,58.6300
SC+S3,FKIT,recall,5,21.8700,0.0000,21.8700,21.8700
SC+S3,FKIT,precision,5,58.6300,0.0000,58.6300,58.6300
SC+S3,FKIT,f1,5,26.5700,0.0000,26.5700,26.5700
SC+S3,FKIT,iou,5,21.8700,0.0000,21.8700,21.8700
SC+S3,FKIT,accuracy,5,98.0600,0.0000,98.0600,98.0600
SC+X2,N5K,mAP,5,88.1900,0.0000,88.1900,88.1900
SC+X2,N5K,recall,5,85.9800,0.0000,85.9800,85.9800
SC+X2,N5K,precision,5,88.1900,0.0000,88.1900,88.1900
SC+X2,N5K,f1,5,82.5900,0.0000,82.5900,82.5900
SC+X2,N5K,iou,5,75.9200,0.0000,75.9200,75.9200
SC+X2,N5K,accuracy,5,94.3700,0.0000,94.3700,94.3700
SC+X2,MTF,mAP,5,89.7000,0.0000,89.7000,89.7000
SC+X2,MTF,recall,5,81.8900,0.0000,81.8900,81.8900
SC+X2,MTF,precision,5,89.7000,0.0000,89.7000,89.7000
SC+X2,MTF,f1,5,83.2300,0.0000,83.2300,83.2300
SC+X2,MTF,iou,5,80.1300,0.0000,80.1300,80.1300
SC+X2,MTF,accuracy,5,99.4800,0.0000,99.4800,99.4800
SC+X2,VF,mAP,5,34.2500,0.0000,34.2500,34.2500
SC+X2,VF,recall,5,41.2700,0.0000,41.2700,41.2700
SC+X2,VF,precision,5,34.2500,0.0000,34.2500,34.2500
SC+X2,VF,f1,5,34.9000,0.0000,34.9000,34.9000
SC+X2,VF,iou,5,30.3300,0.0000,30.3300,30.3300
SC+X2,VF,accuracy,5,95.9000,0.0000,95.9000,95.9000
SC+X2,FKIT,mAP,5,35.3600,0.0000,35.3600,35.3600
SC+X2,FKIT,recall,5,31.2500,0.0000,31.2500,31.2500
SC+X2,FKIT,precision,5,35.3600,0.0000,35.3600,35.3600
SC+X2,FKIT,f1,5,31.8200,0.0000,31.8200,31.8200
SC+X2,FKIT,iou,5,30.9300,0.0000,30.9300,30.9300
SC+X2,FKIT,accuracy,5,98.4000,0.0000,98.4000,98.4000
SETR_MLA,N5K,mAP,5,94.7900,0.0000,94.7900,94.7900
