method,frame,mAP,recall,iou,accuracy
FoodLMM,431,99.9944,66.1095,66.1070,98.6740
FoodLMM,432,0.0000,0.0000,0.0000,96.0136
FoodLMM,433,100.0000,61.7208,61.7208,98.4372
FoodLMM,434,99.9688,22.1266,22.1251,96.7394
FoodLMM,435,100.0000,48.6600,48.6600,97.8105
FoodLMM,436,100.0000,61.2164,61.2164,98.3209
FoodLMM,437,100.0000,60.9224,60.9224,98.3058
FoodLMM,438,99.9817,54.6953,54.6898,98.0354
FoodLMM,439,99.5248,97.8039,97.3493,99.8861
FoodLMM,440,100.0000,72.0448,72.0448,98.8168
FoodLMM,441,98.0945,97.6455,95.8279,99.8226
FoodLMM,442,0.0000,0.0000,0.0000,95.8818
FoodLMM,443,0.0000,0.0000,0.0000,95.9550
FoodLMM,444,0.0000,0.0000,0.0000,95.9499
FoodLMM,445,0.0000,0.0000,0.0000,95.9633
FoodLMM,446,100.0000,30.4428,30.4428,97.2044
FoodLMM,447,99.9622,86.2649,86.2368,99.4507
FoodLMM,448,0.0000,0.0000,0.0000,96.0813
FoodLMM,449,99.9454,55.4181,55.4013,98.2941
FoodLMM,450,99.7767,73.1304,73.0109,98.9964
FoodLMM,451,100.0000,52.4397,52.4397,98.2810
FoodLMM,452,100.0000,30.8874,30.8874,97.5731
FoodLMM,453,100.0000,26.0632,26.0632,97.4796
FoodLMM,454,0.0000,0.0000,0.0000,96.6749
FoodLMM,455,99.9910,49.3687,49.3665,98.3579
FoodLMM,456,99.9946,83.8544,83.8506,99.4858
FoodLMM,457,0.0000,0.0000,0.0000,96.8744
FoodLMM,458,100.0000,65.3832,65.3832,98.9100
FoodLMM,459,0.0000,0.0000,0.0000,96.9284
FoodLMM,460,0.0000,0.0000,0.0000,96.9142
FoodLMM,461,99.9491,73.2546,73.2273,99.1697
FoodLMM,462,0.0000,0.0000,0.0000,96.8325
FoodLMM,463,0.0000,0.0000,0.0000,96.8041
FoodLMM,464,99.7653,88.6360,88.4515,99.6227
FoodLMM,465,99.8502,90.0754,89.9539,99.6661
FoodLMM,466,100.0000,43.3080,43.3080,98.0874
FoodLMM,467,99.7178,95.7765,95.5177,99.8440
FoodLMM,468,99.6982,91.8592,91.6045,99.7021
FoodLMM,469,100.0000,76.9906,76.9906,99.1806
FoodLMM,470,99.9764,86.8250,86.8072,99.5347
FoodLMM,471,100.0000,71.3440,71.3440,98.9913
FoodLMM,472,0.0000,0.0000,0.0000,96.4463
FoodLMM,473,100.0000,74.9706,74.9706,99.1082
FoodLMM,474,99.9920,50.9889,50.9868,98.2574
FoodLMM,475,99.6987,66.9253,66.7902,98.8335
FoodLMM,476,99.8811,90.7568,90.6589,99.6745
FoodLMM,477,100.0000,78.1717,78.1717,99.2483
